ID,Title,Interpret,Album,track,year,genre
84,My Feelings For You (Radio Edit),Avicii & Sebastien Drums,My Feelings For You - taken from Superstar,1,2010,Dance
85,Hal Hal,Barış Manço,Hal Hal,1,1989,Weltmusik
86,Dönence,Barış Manço,Hal Hal,2,1989,Weltmusik
87,Alla Beni Pulla Beni,Barış Manço,Hal Hal,3,1989,Weltmusik
88,Ademoğlu Kızgın Fırın Havva Kızı Mercimek,Barış Manço,Hal Hal,4,1989,Weltmusik
89,Ali Yazar Veli Bozar,Barış Manço,Hal Hal,5,1989,Weltmusik
90,Bahçede Hanımeli,Barış Manço,Hal Hal,6,1989,Weltmusik
91,Halil İbrahim Sofrası,Barış Manço,Hal Hal,8,1989,Weltmusik
92,Geçti Dost Kervanı,Barış Manço,Hal Hal,9,1989,Weltmusik
93,Kazma,Barış Manço,Hal Hal,10,1989,Weltmusik
94,Bal Sultan,Barış Manço,Hal Hal,11,1989,Weltmusik
95,Aman Yavaş Aheste,Barış Manço,Hal Hal,12,1989,Weltmusik
96,Kol Düğmeleri,Barış Manço,Hal Hal,13,1989,Weltmusik
97,Eski Bir Fincan,Barış Manço,Hal Hal,14,1989,Weltmusik
98,Çıt Çıt Çedene,Barış Manço,Hal Hal,15,1989,Weltmusik
99,Arkadaşım Eşşek,Barış Manço,Hal Hal,16,1989,Weltmusik
﻿100,Alla Beni Pulla Beni,Barış Manço,Mançoloji,7,1999,Weltmusik
101,Lambaya Puf De,Barış Manço,Prog Is Not a Four Letter Word,6,2007,Rock
102,Binboganin Kizi,Barış Manço & Moğollar,Istanbul 70 - Psych, Disco, Folk Classics,13,2012,Weltmusik
103,Beş Harfli,Berkay Şenol,Ya Sonra,10,2011,Türkisch
104,Çevirme,Berkay Şenol,Ya Sonra,11,2011,Türkisch
105,Latiniz,Berkay Şenol,Ya Sonra,20,2011,Türkisch
106,Bibi Blocksberg Lied,Bibi Blocksberg,Folge 9: Bibi Blocksberg verliebt sich,1,2007,Hörspiele
107,Folge 9 - Kapitel 1: Bibi vermisst Boris,Bibi Blocksberg,Folge 9: Bibi Blocksberg verliebt sich,2,2007,Hörspiele
108,Folge 9 - Kapitel 2: Zum ersten mal verliebt,Bibi Blocksberg,Folge 9: Bibi Blocksberg verliebt sich,3,2007,Hörspiele
